control_id,cmmc_practice,nist_800_171,cci,finding_id,status,severity,poam_eligible,evidence_file,dag_node_hash
SC-13,CMMC.SC.L2-3.13.10,3.13.10,CCI-002450,FINDING-001,FAIL,CAT I,NON-POA&M,04-findings.json,0x8B601426741B208B
SI-10,CMMC.SI.L2-3.14.2,3.14.2,CCI-002754,FINDING-002,FAIL,CAT I,NON-POA&M,04-findings.json,0x1A0A1F602084F6A7
SI-10c,CMMC.SI.L2-3.14.2,3.14.2,CCI-002754,FINDING-003,FAIL,CAT I,NON-POA&M,04-findings.json,0x9AFB7E3AEA2A40C1
SI-10b,CMMC.SI.L2-3.14.2,3.14.2,CCI-002754,FINDING-004,FAIL,CAT I,NON-POA&M,04-findings.json,0xDB8737E585D7EF8D
SI-7,CMMC.SI.L2-3.14.6,3.14.6,CCI-002748,FINDING-005,FAIL,CAT I,NON-POA&M,04-findings.json,0xA5B0885E200337B5
IA-5,CMMC.IA.L2-3.5.3,3.5.3,CCI-000186,FINDING-006,FAIL,CAT I,NON-POA&M,04-findings.json,0x9A4E441F9E34CBAA
AC-4,CMMC.AC.L2-3.1.2,3.1.2,CCI-000366,FINDING-007,FAIL,CAT I,NON-POA&M,04-findings.json,0x7B98F777EB858D1B
SI-10d,CMMC.SI.L2-3.14.2,3.14.2,CCI-002754,FINDING-008,FAIL,CAT I,NON-POA&M,04-findings.json,0x377BCA809600CDA9
AC-3,CMMC.AC.L2-3.1.3,3.1.3,CCI-001873,FINDING-009,FAIL,CAT II,POA&M-eligible,04-findings.json,0xF5E3E8C1F05BAF9E
AC-17,CMMC.AC.L2-3.1.20,3.1.20,CCI-003123,FINDING-010,FAIL,CAT II,POA&M-eligible,04-findings.json,0x8B601426741B208B
SI-3,CMMC.SI.L1-3.14.2,3.14.2,CCI-002754,FINDING-011,FAIL,CAT II,POA&M-eligible,04-findings.json,0xA5B0885E200337B5
CM-6,CMMC.CM.L2-3.4.6,3.4.6,CCI-001499,FINDING-012,FAIL,CAT II,POA&M-eligible,04-findings.json,0xA5B0885E200337B5
DAG_signature,ML-DSA-65:0x9A4E441F9E34CBAA
